,Address,Bedrooms & Bathrooms,Date & Time Stamp,Latitude,Listing Title,Longitude,Map Accuracy,Price,Title Header,URL
0,N/A,1BR / 1Ba,2017-11-13T17:15:15-0600,N/A,"Ceramic baths, Individual garages available, Grilling/picnic areas",N/A,N/A,$925,/ 1br - 675ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/ceramic-baths-individual/6385820203.html
1,104 S. 3rd st. at Elm,5BR / 3Ba,2017-11-06T15:51:53-0600,44.857757,River Falls 5 Bedroom Victorian For Rent Near UWRF,-92.623038,10,$1700,/ 5br - ,https://minneapolis.craigslist.org/wsh/apa/d/river-falls-5-bedroom/6376478194.html
2,15025 Greenhaven Drive ,2BR / 1.5Ba,2017-11-11T10:12:07-0600,44.731166,"Move In Special, Dishwasher, Heated Underground Parking",-93.290405,5,$1436,/ 2br - 1200ft2 - ,https://minneapolis.craigslist.org/dak/apa/d/move-in-special-dishwasher/6382707470.html
3,N/A,3BR / 1.5Ba,2017-11-09T08:51:13-0600,44.967204,Boutique Apartment in Beautiful Brownstone,-93.261362,5,$2300,/ 3br - 1500ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/boutique-apartment-in/6379907460.html
4,N/A,1BR / 1Ba,2017-11-13T17:32:17-0600,44.900982,Available Now- 1BR Apartment Home in Beautiful Minnetonka Community!,-93.440502,5,$1320,/ 1br - 690ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/available-now-1br-apartment/6385840995.html
5,415 Oak Grove Street,2BR / 2Ba,2017-11-13T17:32:00-0600,44.966511,Drastically Reduced Price! Ready to Move this month,-93.281776,10,$1725,/ 2br - 1024ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/drastically-reduced-price/6385840654.html
6,101 E 10th St,1BR / 1Ba,2017-11-13T17:31:59-0600,44.951200,Don't miss out on this special! Available 2/22,-93.090200,22,$1518,/ 1br - 777ft2 - ,https://minneapolis.craigslist.org/ram/apa/d/dont-miss-out-on-this-special/6385840630.html
7,10660 Hampshire Ave. So. ,2BR / 2Ba,2017-11-13T17:31:58-0600,44.810096,"Dishwashers, Elevator, Air Conditioner",-93.371086,5,$1350,/ 2br - 1100ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/dishwashers-elevator-air/6385840612.html
8,10660 Hampshire Ave. So. ,2BR / 2Ba,2017-11-13T17:31:54-0600,44.809852,"Package Receiving, Outdoor Kitchen, Breakfast Bars",-93.371258,5,$1351,/ 2br - 1150ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/package-receiving-outdoor/6385840551.html
9,10660 Hampshire Ave. So. ,1BR / 1Ba,2017-11-13T17:31:51-0600,44.809365,"Package Receiving, Minutes from MSP Airport, Cable Ready",-93.371601,5,$1250,/ 1br - 800ft2 - ,https://minneapolis.craigslist.org/hnp/apa/d/package-receiving-minutes/6385840491.html
